timestamp_utc,pair,direction,entry_price,exit_price,quantity,pnl_usd,balance_change_usd,balance_after_usd,regime,engine,hold_hours,exit_reason
2025-11-07T21:00:00.000Z,BTCUSDT,short,105718.8,103718.4,0.15841,307.03,307.03,118238.51,TREND_DOWN,trend,101,exit
2025-11-11T13:00:00.000Z,BTCUSDT,long,106267.9,104499.9,0.165879,-303.67,-303.67,117934.84,TREND_UP,trend,36,exit
2025-11-23T02:00:00.000Z,BTCUSDT,short,99601.4,85837.5,0.135066,1852.08,1852.08,119786.92,TREND_DOWN,trend,224,exit
2025-12-01T00:00:00.000Z,BTCUSDT,long,91094.7,88992.46,0.190927,-411.57,-411.57,119375.35,TREND_UP,trend,94,stop
2025-12-02T13:00:00.000Z,ETHUSDT,short,2745.01,2843.39,4.960527,-496.49,-496.49,118878.86,TREND_DOWN,trend,21,stop
2025-12-04T19:00:00.000Z,ETHUSDT,long,3188.43,3074.36,4.245264,-492.07,-492.07,118386.79,TREND_UP,trend,20,stop
2025-12-17T14:00:00.000Z,BTCUSDT,short,86996.5,88869.3,0.212627,-409.55,-409.55,117977.24,TREND_DOWN,trend,46,stop
2025-12-17T15:00:00.000Z,ETHUSDT,short,2935.41,2993.94,4.25466,-256.67,-256.67,117720.57,TREND_DOWN,trend,45,exit
2025-12-19T03:00:00.000Z,BTCUSDT,short,84447,87375.35,0.134907,-402.13,-402.13,117318.45,TREND_DOWN,trend,7,stop
2025-12-26T02:00:00.000Z,ETHUSDT,short,2916.16,2990.57,6.430346,-490.05,-490.05,116828.4,TREND_DOWN,trend,59,stop
2025-12-29T09:00:00.000Z,BTCUSDT,long,90091.5,88920.68,0.334795,-409.85,-409.85,116418.55,TREND_UP,trend,5,stop
2026-01-06T18:00:00.000Z,BTCUSDT,long,92368,91547.5,0.366581,-320.92,-320.92,116097.63,TREND_UP,trend,41,exit
2026-01-08T07:00:00.000Z,ETHUSDT,long,3047.19,3103.98,10.289621,565.18,565.18,116662.82,TREND_UP,trend,141,exit
2026-01-09T01:00:00.000Z,BTCUSDT,short,89844,91567.95,0.224031,-398.53,-398.53,116264.29,TREND_DOWN,trend,18,stop
2026-01-16T16:00:00.000Z,BTCUSDT,long,94179.6,94537.6,0.21052,63.42,63.42,116327.72,TREND_UP,trend,68,exit
2026-01-16T16:00:00.000Z,ETHUSDT,long,3183.11,3263.04,6.935355,540.76,540.76,116868.48,TREND_UP,trend,72,exit
2026-01-23T18:00:00.000Z,BTCUSDT,short,90894.5,90576,0.281221,74.29,74.29,116942.77,TREND_DOWN,trend,83,exit
2026-01-26T02:00:00.000Z,BTCUSDT,short,86459.4,87837.18,0.278685,-398.65,-398.65,116544.11,TREND_DOWN,trend,6,stop
2026-01-27T17:00:00.000Z,ETHUSDT,short,3115.2,2989.59,7.075471,876.06,876.06,117420.17,TREND_DOWN,trend,178,exit
2026-02-13T15:00:00.000Z,ETHUSDT,short,1947.78,2025.03,6.3333,-496.97,-496.97,116923.2,TREND_DOWN,trend,56,stop
2026-02-15T13:00:00.000Z,BTCUSDT,long,70464.8,69121.92,0.283619,-392.63,-392.63,116530.57,TREND_UP,trend,25,stop
2026-02-26T15:00:00.000Z,BTCUSDT,long,69293.3,67210.15,0.181376,-385.15,-385.15,116145.42,TREND_UP,trend,20,stop
2026-02-27T12:00:00.000Z,ETHUSDT,long,2012.85,1960.79,6.65731,-354.41,-354.41,115791.01,TREND_UP,trend,44,exit
2026-03-06T01:00:00.000Z,BTCUSDT,long,73339.7,70516.84,0.132804,-380.51,-380.51,115410.5,TREND_UP,trend,33,stop
2026-03-09T09:00:00.000Z,BTCUSDT,short,67042.6,68234.7,0.312047,-384.77,-384.77,115025.74,TREND_DOWN,trend,37,stop
2026-03-13T16:00:00.000Z,BTCUSDT,long,73344.7,71529.49,0.203288,-377.74,-377.74,114648,TREND_UP,trend,2,stop
2026-03-13T17:00:00.000Z,ETHUSDT,long,2184.54,2106.55,6.190014,-490.6,-490.6,114157.4,TREND_UP,trend,3,stop
2026-03-18T11:00:00.000Z,BTCUSDT,long,75283.8,73310.16,0.185501,-374.27,-374.27,113783.13,TREND_UP,trend,34,stop
2026-03-18T12:00:00.000Z,ETHUSDT,long,2235.14,2268.11,6.370211,201.36,201.36,113984.49,TREND_UP,trend,56,exit
2026-03-23T12:00:00.000Z,BTCUSDT,short,70145,70097.2,0.217514,1.25,1.25,113985.74,TREND_DOWN,trend,100,exit
2026-03-30T03:00:00.000Z,ETHUSDT,short,1989.69,2028.88,7.575368,-306.1,-306.1,113679.64,TREND_DOWN,trend,64,exit
2026-03-30T05:00:00.000Z,BTCUSDT,short,66456.4,67579.2,0.213929,-248.87,-248.87,113430.76,TREND_DOWN,trend,66,exit
